"term","freq"
"take a picture",5
"taking care of",5
"talk to him",5
"tell me i",5
"thank you all",5
"thank you so",5
"thank you to",5
"that can be",5
"that had been",5
"that he was",5
"that i do",5
"that i know",5
"that i want",5
"that may be",5
"that moment when",5
"that there are",5
"that there was",5
"that this is",5
"that when i",5
"that you are",5
"the answer is",5
"the department of",5
"the difference between",5
"the first place",5
"the good news",5
"the head of",5
"the lack of",5
"the last time",5
"the level of",5
"the next few",5
"the other side",5
"the past few",5
"the people of",5
"the purpose of",5
"the right to",5
"the same as",5
"the side of",5
"the smell of",5
"the story of",5
"the sword of",5
"the thing is",5
"the university of",5
"the wall street",5
"them in a",5
"there are no",5
"there is also",5
"there is one",5
"think about the",5
"think it was",5
"think they are",5
"this if you",5
"this is where",5
"this movie is",5
"this time it",5
"this week and",5
"this will be",5
"those of you",5
"to all my",5
"to be at",5
"to be good",5
"to be part",5
"to be so",5
"to be very",5
"to believe that",5
"to check the",5
"to come out",5
"to deal with",5
"to do is",5
"to do something",5
"to focus on",5
"to get more",5
"to get on",5
"to get your",5
"to have the",5
"to hear the",5
"to help you",5
"to learn to",5
"to let the",5
"to make my",5
"to me i",5
"to not be",5
"to participate in",5
"to put the",5
"to say i",5
"to see all",5
"to see if",5
"to see that",5
"to sign up",5
"to sleep in",5
"to some of",5
"to stay in",5
"to tell my",5
"to the hospital",5
"to the other",5
"to work on",5
"to work with",5
"to you and",5
"to you in",5
"today i am",5
"top of the",5
"try not to",5
"trying to find",5
"u have to",5
"up and coming",5
"up the good",5
"wall street journal",5
"want to play",5
"was great to",5
"was the first",5
"way to go",5
"we're going to",5
"we were in",5
"welcome to the",5
"what can i",5
"what happens when",5
"what he did",5
"what i think",5
"what to do",5
"when i see",5
"when we are",5
"where there is",5
"while i was",5
"why is it",5
"will be able",5
"will be there",5
"will need to",5
"wish i had",5
"with so many",5
"with the other",5
"with the world",5
"would be the",5
"would you like",5
"yeah i know",5
"you're going to",5
"you and me",5
"you and you",5
"you and your",5
"you as well",5
"you do not",5
"you like it",5
"you look at",5
"you look like",5
"you love me",5
"you to the",5
"you would like",5
"'s and 's",4
"a bad thing",4
"a bit and",4
"a copy of",4
"a few different",4
"a friend of",4
"a good book",4
"a good idea",4
"a good job",4
"a great thing",4
"a happy birthday",4
"a hard time",4
"a heart attack",4
"a little girl",4
"a member of",4
"a new song",4
"a really good",4
"a set of",4
"a social media",4
"a sort of",4
"a sucker for",4
"a total of",4
"a way of",4
"a while now",4
"a year old",4
"able to go",4
"able to make",4
"about how much",4
"about the new",4
"all have a",4
"all know that",4
"all of those",4
"all over again",4
"all sorts of",4
"all the things",4
"all you need",4
"along the way",4
"am not a",4
"am on the",4
"am pretty sure",4
"am so excited",4
"and a few",4
"and a half",4
"and easy to",4
"and for the",4
"and how they",4
"and i didn't",4
"and i dont",4
"and i got",4
"and i hope",4
"and i just",4
"and i know",4
"and i thought",4
"and im not",4
"and into the",4
"and it seems",4
"and it will",4
"and one of",4
"and out of",4
"and over again",4
"and ready to",4
"and thanks for",4
"and the first",4
"and the only",4
"and the people",4
"and we can",4
"and with a",4
"any of you",4
"anyone out there",4
"are gonna be",4
"are having a",4
"are likely to",4
"are people who",4
"are there any",4
"are we going",4
"are you ready",4
"are you still",4
"around the world",4
"as good as",4
"as i am",4
"as i was",4
"as they are",4
"as we walked",4
"at least that",4
"at the last",4
"at the school",4
"at this time",4
"back of a",4
